,brand,image,ingredient,name,price
10,해서린,https://contents.lotteon.com/itemimage/LB/PD/10/01/90/25/_2/91/27/LBPD10019025_29127_1.jpg/dims/resizef/554X554,"정제수, 글리세린, 코카미도프로필베타인, 소듐코코일알라니네이트, 데실글루코사이드, 아크릴레이트코폴리머, 라우릴하이드록시설테인, 폴리글리세릴-4카프레이트, 소듐클로라이드, 1,2-헥산다이올, 변성알코올, 코카마이드메틸엠이에이, 카프릴릴글라이콜, 다이프로필렌글라이콜, 트로메타민, 부틸렌글라이콜, 에틸헥실글리세린, 다이소듐이디티에이, 애플민트잎추출물, 페퍼민트잎추출물, 워터민트잎추출물, 아이리쉬모스가루, 아가, 은행나무잎추출물, 마이카, 티타늄디옥사이드, 병풀추출물, 적색산화철, 젤란검, 아시아티코사이드, 아시아틱애씨드, 마데카식애씨드, 프로필렌글라이콜라우레이트, 토코페릴아세테이트(150ppb), 에틸헥산다이올, 오렌지껍질오일, 리모넨",아침 비타 클렌징젤 200ml,"9,900원"
11,얼트루,https://contents.lotteon.com/itemimage/LB/PD/10/00/23/92/_4/48/6/LBPD10002392_4486_1.jpg/dims/resizef/554X554,"정제수, 부틸렌글라이콜, 글리세린, 자몽추출물, 비스-피이지-18메칠에텔디메칠실란, 피이지-60하이드로제네이티드캐스터오일, 암모늄아크릴로일디메칠타우레이트/브이피코폴리머, 폴리아크릴릭애씨드, 디메치콘, 인도멀구슬나무잎추출물, 박하추출물, 감초추출물, 마치현추출물, 해바라기추출물, 꿀추출물, 레몬밤잎추출물, 포타슘하이드록사이드, 셀룰로오스검, 에칠헥실글리세린, 달맞이꽃뿌리추출물, 데저트샌드버베나잎추출물, 용설란줄기추출물, 조슈아나무뿌리추출물, 백년초꽃추출물, 캔들우드줄기추출물, 크레오소트부시추출물, 치자추출물, 카카오추출물, 트레할로스, 타마린드씨폴리사카라이드, 레시틴, 미로탐누스 플라벨리폴리아잎추출물, 실리카, 물냉이추출물, 1,2-헥산디올, 폴리쿼터늄-51, 디소듐이디티에이, 페녹시에탄올, 향료","아임쏘리 릴렉싱 젤리마스크 (수분,진정)","1,350원"
12,포인트,https://contents.lotteon.com/itemimage/LB/PD/10/00/27/53/_1/22/3/LBPD10002753_1223_1.jpg/dims/resizef/554X554,"정제수, 프로필렌글라이콜, 세테아릴이소노나노에이트, 세테아레스-20, 세테아릴알코올,드럼스틱나무씨오일, 창포추출물, 연꽃추출물, 셀룰로오스검, 비누풀잎추출물, 무환자추출물, 주엽나무열매추출물, 유카잎/뿌리/줄기추출물, 시호추출물, 알란토인, 글리세린, 부틸렌글라이콜, 피이지-40하이드로제네이티드캐스터오일, 글리세릴스테아레",딥 클린 올인원 클렌징 티슈 80매,"5,500원"
13,비페스타,https://contents.lotteon.com/itemimage/LB/PD/10/00/57/12/_8/84/4/LBPD10005712_8844_1.jpg/dims/resizef/554X554,"정제수,글리세린,디프로필렌글라이콜,이소부탄,폴리글리세릴-10미리스테이트,피이지-6,소듐코코일글루타미네이트,피이지-32,피이지-150스테아레이트,이산화탄소,소듐라우릴포스페이트,미리스틱애씨드,잔탄검,피이지-50하이드로제네이티드캐스터오일,페녹시에탄올,에톡시디글라이콜,카프릴릴글라이콜,오렌지류껍질오일,부틸렌글라이콜,녹차추출물,하이드록시프로필트리모늄하이알루로네이트",탄산무스폼 오일클리어 180ml,"6,500원"
14,메디힐,https://contents.lotteon.com/itemimage/LB/PD/10/00/07/61/_1/88/7/LBPD10000761_1887_1.jpg/dims/resizef/554X554,상세페이지 참조,태반 리바이탈 에센셜 마스크 EX,"2,000원"
15,센카,https://contents.lotteon.com/itemimage/LB/PD/10/01/60/00/_2/45/07/LBPD10016000_24507_1.jpg/dims/resizef/554X554,"정제수,스테아릭애씨드,미리스틱애씨드,피이지-8,포타슘하이드록사이드,라우릭애씨드,글리세린,다이프로필렌글라이콜,에탄올,살리실릭애씨드,비즈왁스,폴리쿼터늄-7,향료,다이소듐이디티에이,피이지-90M,크로뮴옥사이드그린,소듐벤조에이트,소듐메타바이설파이트,소듐메타포스페이트,적색산화철,황색산화철,피이지/피피지-14/7다이메틸에터,소듐하이알루로네이트,부틸렌글라이콜,세리신,시트릭애씨드,포타슘솔베이트,소듐아세틸레이티드하이알루로네이트,비에이치티,실리카",퍼펙트휩 아크네케어 폼 100g,"8,900원"
16,비알티씨,https://contents.lotteon.com/itemimage/LB/PD/10/02/00/13/_3/06/26/LBPD10020013_30626_1.jpg/dims/resizef/554X554,"정제수, 글리세레스-25피씨에이아이소스테아레이트, 해수, 밤부사 불가리스수, 하이드롤라이즈드산호, 하이드롤라이즈드콜라겐, 로즈힙열매오일, 올리브오일, 소듐하이알루로네이트, 자작나무수액, 에델바이스캘러스배양추출물, 인동덩굴꽃추출물, 스피룰리나 플라텐시스추출물, 라벤더추출물, 클레리추출물, 히아신스전초추출물, 마트리카리아꽃/잎추출물, 보리지추출물, 수레국화꽃추출물, 에틸헥실글리세린, 병풀추출물, 알로에베라잎추출물, 페퍼민트추출물, 유칼립투스잎추출물, 마트리카리아꽃추출물, 부틸렌글라이콜, 몽당잎모자반추출물, 페퍼민트잎추출물, 고삼뿌리추출물, 하수오뿌리추출물, 슈도알테로모나스발효추출물, 효모용해추출물, 쇠비름추출물, 프로폴리스추출물, 판테놀, 나이아신아마이드, 하이드로제네이티드레시틴, 토코페릴석시네이트, 리놀레익애씨드, 글리세릴올리에이트, 피리독신에이치씨엘, 폴릭애씨드, 바이오틴, 사이아노코발아민, 베타-카로틴, 소듐아스코빌포스페이트, 브로콜리추출물, 글리세린, 1,2-헥산다이올, 라벤더오일, 세틸피리디늄클로라이드, 소듐시트레이트, 시트릭애씨드, 다이소듐이디티에이",V10 포어 클렌징 패드 80매,"16,500원"
17,토니모리,https://contents.lotteon.com/itemimage/LB/PD/10/02/16/15/_3/26/21/LBPD10021615_32621_1.jpg/dims/resizef/554X554,"정제수, 부틸렌글라이콜, 메틸프로판다이올, 살구씨오일, 1,2-헥산다이올, 글리세린, 나이아신아마이드, 다이메티콘, 소듐폴리아크릴레이트, 금사연둥지추출물(10,000 ppm), 에틸헥실스테아레이트, 사이클로펜타실록세인, C13-15알케인, 시어버터, C14-22알코올, 세테아릴알코올, 글리세레스-26, 하이드로제네이티드레시틴, 피토스테릴/옥틸도데실라우로일글루타메이트, 폴리글리세릴-10라우레이트, C12-20알킬글루코사이드, 피이지-20글리세릴아이소스테아레이트, 펜틸렌글라이콜, 글리세릴스테아레이트, 피이지-100스테아레이트, 병풀추출물, 트라이데세스-6, 아데노신, 쇠비름추출물, 마트리카리아꽃추출물, 체이스트트리추출물, 토코페릴아세테이트, 다이메티콘/비닐다이메티콘크로스폴리머, 다이글리세린, 테아닌, 인도멀구슬나무잎추출물, 우유지질, 인도멀구슬나무꽃추출물, 울금뿌리추출물, 글루타티온, 덱스트린, 우엉뿌리추출물, 진흙버섯추출물, 카카오추출물, 홀리바질잎추출물, 금, 참산호말추출물, 하이드롤라이즈드콜라겐, 부틸페닐메틸프로피오날, 리모넨, 향료",프리미엄 RX 제비집 아이크림 30ml,"17,900원"
18,해피바스,https://contents.lotteon.com/itemimage/LB/PD/10/00/55/82/_8/58/8/LBPD10005582_8588_1.jpg/dims/resizef/554X554,"트리리프솝베리열매추출물, 글리세린, 스테아릭애씨드, 정제수, 미리스틱애씨드, 피이지-8, 라우릭애씨드, 포타슘하이드록사이드, 트리에탄올아민, 부틸렌글라이콜,하이드레이티드실리카, 자작나무수액, 소듐메칠코코일타우레이트, 글리세릴스테아레이트, 피이지-100스테아레이트, 코카미도프로필베타인, 피이지-150디스테아레이트, 폴리쿼터늄-7, 피이지-14M, 소듐하이드록사이드, 디소듐이디티에이, 포타슘코코일글리시네이트, 페녹시에탄올, 소듐벤조에이트, 향료",솝베리 클렌징폼 150g,"5,500원"
19,아크네스,https://contents.lotteon.com/itemimage/LB/PD/10/01/21/55/_1/90/13/LBPD10012155_19013_1.jpg/dims/resizef/554X554,"정재수, 글리세린, 팔미틱애씨드, 메틸프로판다이올, 포타슘코코일글리시네이트, 미리스틱애씨드, 스테아릭애씨드, 포타슘하이드록사이드, 라우릭애씨드, 살리실릭애씨드, 글리세릴스테아레이트, 병풀추출물, 무화과추출물, 당느릅나무뿌리추출물, 줄맨드라미씨추출물, 미역추출물, 티트리잎오일, 하이드로제네이티드레시틴, 솔비탄올리베이트, 부틸렌글라이콜, 다이소듐이디티에이, 세라마이드엔피, 1,2-헥산다이올",퍼펙트 솔루션 폼클렌저 125ml,"18,000원"
20,참존,https://contents.lotteon.com/itemimage/LB/PD/10/02/15/98/_3/26/05/LBPD10021598_32605_1.jpg/dims/resizef/554X554,상세페이지 참고,디에이지 시알디 2종세트,"23,000원"
21,비알티씨,https://contents.lotteon.com/itemimage/LB/PD/10/01/81/86/_2/79/65/LBPD10018186_27965_1.jpg/dims/resizef/554X554,"[필링젤 120ml, 20ml] 정제수, 셀룰로오스, 병풀추출물, 다이프로필렌글라이콜, 아이소스테아릭애씨드, 트레할로오스, 부틸렌글라이콜, 비스-에톡시다이글라이콜사이클로헥산1,4-다이카복실레이트, 알지닌, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 판테놀, 폴리글리세릴-10라우레이트, 카프릴릴글라이콜, 에틸헥실글리세린, 폴리글리세릴-4라우레이트, 카보머, 카프릴릴/카프릴글루코사이드, 펜틸렌글라이콜, 나이아신아마이드, 글리세린, 귀리단백질추출물, 비타민나무추출물, 글루코노락톤, 베타인살리실레이트, 하이드록시프로필트라이모늄하이알루로네이트, 하이드로제네이티드레시틴, 토코페릴석시네이트, 리놀레익애씨드, 파파인, 글리세릴올리에이트, 쌀추출물, 락토바실러스발효물, 프로테아제, 에탄올, 피리독신에이치씨엘, 폴릭애씨드, 바이오틴, 사이아노코발아민, 베타-카로틴, 소듐아스코빌포스페이트, 다이소듐이디티에이, 1,2-헥산다이올, 베르가모트오일, 리모넨, 리날룰  [필링패드 5매] 병풀잎수, 글리세린, 부틸렌글라이콜, 1,2-헥산다이올, 판테놀, 피이지-60하이드로제네이티드캐스터오일, 에틸헥실글리세린, 베르가모트오일, 정제수, 나이아신아마이드, 글루코노락톤, 하이드로제네이티드레시틴, 글리세릴리놀리에이트, 글리세릴올리에이트, 피리독신에이치씨엘, 폴릭애씨드, 바이오틴, 글리세릴리놀리네이트, 사이아노코발아민, 레티닐팔미테이트, 소듐아스코빌포스페이트, 토코페릴아세테이트, 다이소듐이디티에이, 클로페네신, 리모넨, 리날룰","약산성 비타 필링젤 120ml 기획(+20ml,패드)","19,000원"
22,싸이닉,https://contents.lotteon.com/itemimage/LB/PD/10/02/17/39/_3/28/35/LBPD10021739_32835_1.jpg/dims/resizef/554X554,"정제수, 다이프로필렌글라이콜, 병풀추출물(55,800 ppm), 1,2-헥산다이올, 글리세린, 하이드롤라이즈드하이알루로닉애씨드(405 ppm), 소듐하이알루로네이트(50 ppm), 하이드록시프로필트라이모늄하이알루로네이트(5 ppm), 소듐하이알루로네이트크로스폴리머(1 ppm), 소듐아세틸레이티드하이알루로네이트(0.5 ppm), 빙하수, 부틸렌글라이콜, 카보머, 트로메타민, 베타인, 카프릴릴글라이콜, 암모늄아크릴로일다이메틸타우레이트/브이피코폴 리머, 다이소듐이디티에이, 폴리글리세릴-10미리스테이트, 하이드록시아세토페논, 펜틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 에틸헥실팔미테이트, 세틸에틸헥사노에이트",[1+1] 히아루론산 수딩젤 150ml [업체배송],"11,900원"
23,토니모리,https://contents.lotteon.com/itemimage/LB/PD/10/02/16/16/_3/26/18/LBPD10021616_32618_1.jpg/dims/resizef/554X554,컨텐츠참조,더촉촉 그린티 수분 에센스 55ml,"11,550원"
24,닥터락토,https://contents.lotteon.com/itemimage/LB/PD/10/02/15/28/_3/25/09/LBPD10021528_32509_1.jpg/dims/resizef/554X554,"병풀추출물, 다이카프릴릴카보네이트, 메틸프로판다이올, 글리세린, 폴리글리세린-3, 베타인, 바실러스발효물, 락토바실러스발효물, 락토바실러스발효용해물, 락토코쿠스발효용해물, 비피다발효여과물, 비피다발효용해물, 효모발효여과물, 세라마이드엔피, 에델바이스캘러스배양추출물, 울금뿌리추출물, 인삼추출물, 포도세포추출물, 베타-글루칸, 다시마추출물, 한련초잎추출물, 귀리커넬추출물, 봉의꼬리추출물, 아티초크잎추출물, 올리브오일, 하이드로제네이티드레시틴, 소듐하이알루로네이트, 분비나무오일, 정제수, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리글리세릴-10미리스테이트, 폴리메틸실세스퀴옥세인, 카보머, 부틸렌글라이콜, 트로메타민, 만니톨, 옥수수전분, 마이크로크리스탈린셀룰로오스, 다이소듐이디티에이, 폴리쿼터늄-51, 프룩토올리고사카라이드, 하이드롤라이즈드하이알루로닉애씨드, 1,2-헥산다이올, 에틸헥실글리세린",SOS 카밍 크림 80ml,"16,800원"
25,플라센타 베제딸,https://contents.lotteon.com/itemimage/LB/PD/10/00/17/95/_2/65/6/LBPD10001795_2656_1.jpg/dims/resizef/554X554,"정제수, 카프릴릭/카프릭트라이글리세라이드, 폴리글리세릴-6다이스테아레이트, 글리세린, 살구씨오일, 하이드롤라이즈드콩단백질, 실리카, 마이크로크리스탈린셀룰로오스, 벤질알코올, 마이카, 부틸렌글라이콜, 세틸알코올, 너도밤나무싹추출물, 향료(천연향료), 셀룰로오스검, 하이드록시아파타이트, 오리스뿌리추출물, 징크피씨에이, 헥실신나몰, 데하이드로아세틱애씨드, 징크옥사이드, 부틸페닐메틸프로피오날, 토코페롤, 페녹시에탄올, 리날룰, 해바라기씨오일, 벤질벤조에이트, 리모넨, 유제놀, 벤조익애씨드, 돌콩오일, 시트로넬올, 소르빅애씨드, 알파-아이소메틸아이오논, 벤질살리실레이트",모이스처 플루이드 40ml,"8,900원"
26,라끄베르,https://contents.lotteon.com/itemimage/LB/PD/10/00/13/56/_3/38/4/LBPD10001356_3384_1.jpg/dims/resizef/554X554,"올리브오일, 카프릴릭/카트릭트리글리세라이드, 피이지-20글리세릴이소스테아레이트, 펜타에리스리틸테트라에칠헥사노에이트, 디펜타에리스틸헥사C5-9애시드에스터, 기름야자오일, 펜틸렌글라이콜, 토코페롤, 로즈마리잎오일, 정제수, 페녹시에탄올",CK딥클렌징오일,"16,000원"
27,스킨천사,https://contents.lotteon.com/itemimage/LB/PD/10/01/97/83/_3/02/52/LBPD10019783_30252_1.jpg/dims/resizef/554X554,"녹차수(71%), 카올린, 벤토나이트, 글리세릴스테아레이트에스이, 글리세린, 1,2-헥산다이올, 폴리솔베이트20, 판테놀, 마그네슘알루미늄실리케이트, 녹차추출물, 병풀추출물, 알로에베라잎추출물, 녹차가루, 녹차씨오일, 글리세릴스테아레이트, 피이지-100스테아레이트, 잔탄검, 락틱애씨드, 정제수, 하이드록시아세토페논, 다이소듐이디티에이, 그로뮴옥사이드그린, 향료",좀비 뷰티 마녀팩 8입,"13,900원"
28,에스엔피,https://contents.lotteon.com/itemimage/LB/PD/10/02/05/10/_3/11/66/LBPD10020510_31166_1.jpg/dims/resizef/554X554,"정제수, 글리세린, 프로판다이올, 글리세레스-26, 타임잎추출물, 병풀추출물, 약모밀추출물, 쇠비름추출물, 베타-글루칸, 트루로즈오브예리코추출물, 세라마이드엔피, 1,2-헥산다이올, 헥실렌글라이콜, 하이드록시아세토페논, 하이드록시에틸셀룰로오스, 트레할로오스, 잔탄검, C12-13파레스-9, 알지닌, 카보머, 다이포타슘글리시리제이트, 소듐파이테이트, 부틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 다이프로필렌글라이콜, 하이드로제네이티드레시틴, 콜레스테롤, 향료",퓨어 플레인 하이드레이팅 마스크 1매,"1,500원"
29,블리블리,https://contents.lotteon.com/itemimage/LB/PD/10/02/24/28/_3/37/09/LBPD10022428_33709_1.jpg/dims/resizef/554X554,"정제수, 글리세레스-26, 1,2-헥산다이올, 나이아신아마이드, 세틸에틸헥사노에이트, 스쿠알란, 올리브오일, 누에고치추출물 (900ppm), 하이드롤라이즈드실크 (300 ppm), 하이드롤라이즈드우유단백질 (300 ppm), 하이드롤라이즈드케라틴, 글라이신, 세린, 글루타믹애씨드, 아스파틱애씨드, 류신, 베타인, 알라닌, 라이신, 알지닌, 타이로신, 페닐알라닌, 발린, 트레오닌, 프롤린, 아이소류신, 히스티딘, 메티오닌, 시스테인, 아이비고드열매추출물, 참산호말추출물, 황련뿌리추출물, 인도멀구슬나무꽃추출물, 인도멀구슬나무잎추출물, 퀸즈랜드넛오일, 하이드로제네이티드레시틴,소듐하이알루로네이트 , 글리세린, 다이프로필렌글라이콜, 세테아릴에틸헥사노에이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 에틸헥실팔미테이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 에틸헥실글리세린, 부틸렌글라이콜, 카라멜, 아데노신, 다이소듐이디티에이, 솔비탄아이소스테아레이트, 소듐카보머, 향료",단백질 실크 스킨 앰플 35 ml,"21,000원"
30,플로랑스네이처,https://contents.lotteon.com/itemimage/LB/PD/10/00/70/85/_1/11/36/LBPD10007085_11136_1.jpg/dims/resizef/554X554,"정제수, 코코넛야자오일, C10-18트라이글리세라이즈, 글리세린, 로얄젤리, 메틸헵틸아이소스테아레이트, 글리세릴스테아레이트시트레이트, 펜틸렌글라이콜, 세테아릴알코올, 카프릴릭/카프릭트라이글리세라이드, 부틸렌글라이콜, 잔탄검, 하이드롤라이즈드하이알루로닉애씨드, 향료, 소듐벤조에이트, 벤조익애씨드, 해바라기씨오일, 소듐하이알루로네이트, 토코페롤, 레시틴, 배더락스추출물,  아데노신, 리날룰, 소듐하이드록사이드, 시팀우드검추출물, 리모넨, 유제놀, 포타슘솔베이트, 시트릭애씨드,99%자연유래성분",컴포팅 안티 링클 나이트크림 50ml,"24,900원"
31,에스엔피,https://contents.lotteon.com/itemimage/LB/PD/10/02/02/24/_3/08/40/LBPD10020224_30840_1.jpg/dims/resizef/554X554,"정제수, 글리세린, 부틸렌글라이콜, 글리세레스-26, 프로판다이올, 1,2-헥산다이올, 다이프로필렌글라이콜, 병풀잎추출물, 병풀추출물, 소듐하이알루로네이트, 마데카소사이드, 글리세레스-25피씨에이아이소스테아레이트, 에틸헥실글리세린, 카보머, 향료, 트로메타민, 잔탄검, 다이소듐이디티에이, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 판테놀, 인도멀구슬나무잎추출물, 야생딸기잎추출물, 인도멀구슬나무꽃추출물, 마조람잎추출물, 로즈마리잎추출물, 살비아잎추출물, 타임잎추출물, 마트리카리아꽃추출물, 라벤더꽃추출물, 레몬밤잎추출물",프렙 시카로닉 SOS  앰플 [업체배송],"18,000원"
